iteration	commit	status	primary_metric_name	primary_metric_value	description
0	e7c0ed95a333	baseline	weighted_median_wall_seconds_per_100_steps	0.348349552019	baseline
1	4fc731266013	rejected	weighted_median_wall_seconds_per_100_steps	0.343359187478	Replace per-step full-array TIP4P `hneigh[][2]` reset with a toggled per-step stamp in `pair_lj_cut_tip4p_long` to avoid `O(nall)` flag clearing each timestep while preserving re-neighbor invalidation. [Correctness passed and runtime improved, but the +1.43% gain is below the contract’s +2.0% minimum relative improvement threshold.]
2	2687c05eb308	accepted	weighted_median_wall_seconds_per_100_steps	0.30796970852	Ported OPT-style specialized inner-loop compute (`eval<...>` dispatch) into default `pair_lj_cut_tip4p_long` and replaced per-step `hneigh[][2]` clearing with a toggled stamp to cut force-kernel memory/branch overhead. [Candidate 2687c05eb308 improves weighted_median_wall_seconds_per_100_steps by 11.59% vs incumbent with correctness/guardrails passing, exceeding the +2.0% contract threshold.]
3	221447e9f42a	accepted	weighted_median_wall_seconds_per_100_steps	0.291823301988	Flatten TIP4P long-pair hot-loop data access by using contiguous x/f [3]-views and hoisting per-i hneigh/LJ/Coulomb constants to reduce inner-loop pointer-chasing overhead. [Primary metric decreased from 0.307969708520 to 0.291823301988 (+5.24% vs incumbent) with correctness/guardrails passing and no hard reject, clearing the +2.0% acceptance threshold.]
4	08902c8107d6	accepted	weighted_median_wall_seconds_per_100_steps	0.28544981248	Precompute TIP4P oxygen virtual sites once per step in compute() and remove per-pair lazy hneigh stamp refreshes from the eval() hot loop. [Primary metric improved from 0.291823301988 to 0.285449812480 (+2.18% vs incumbent) with correctness/guardrails passing and no hard reject, clearing the 2.0% minimum improvement threshold.]
5	8d71f03effc0	rejected	weighted_median_wall_seconds_per_100_steps	0.28323954175	Reduce TIP4P long-pair hot-loop overhead by skipping LJ-row setup for hydrogen i-atoms and deferring special_lj/special_coul lookups until LJ/Coulomb branches are actually entered. [Correctness passed, but the candidate’s +0.7743% improvement vs incumbent is below the contract’s +2.0% minimum, so incumbent 08902c8107d6 is retained.]
6	9879326ddc5b	accepted	weighted_median_wall_seconds_per_100_steps	0.278954479261	Flatten TIP4P hneigh/newsite hot-path access to contiguous 2D views and use an sbmask common-case fast path to defer special_lj/special_coul lookups in pair_lj_cut_tip4p_long eval() [Correctness and guardrails passed, and the primary metric improved by +2.2755% vs incumbent (0.285449812480 -> 0.278954479261), clearing the +2.0% acceptance threshold.]
7	3585a8c5c5c1	rejected	weighted_median_wall_seconds_per_100_steps	0.279915552295	Split `pair_lj_cut_tip4p_long::eval()` to make `sbmask==0` the explicit common-case fast path for LJ/Coulomb special scaling, gating rare `special_lj/special_coul` work behind `sb!=0` while preserving TIP4P force partitioning semantics. [Correctness and guardrails passed, but the candidate is 0.3445% slower than incumbent on the primary metric, so it fails the +2.0% minimum improvement contract.]
8	8a6135d96965	rejected	weighted_median_wall_seconds_per_100_steps	0.276071354223	Accumulate TIP4P i-oxygen hydrogen force-partition contributions in local scalars inside `pair_lj_cut_tip4p_long::eval()` and flush to `f[iH1/iH2]` once per outer-`i` iteration to reduce per-neighbor force-array write traffic. [Correctness/guardrails passed, but the candidate’s +1.03% primary-metric improvement vs incumbent is below the +2.0% contract threshold.]
9	ecf63fa05a3a	accepted	weighted_median_wall_seconds_per_100_steps	0.271962072991	Accumulate TIP4P i-water hydrogen force-partition contributions once per outer-i and reuse cached i-side coordinates for virial math in pair_lj_cut_tip4p_long::eval() to reduce hot-loop writes/loads. [Primary metric improved from 0.278954479261 to 0.271962072991 (+2.5066% vs incumbent) with correctness/guardrails passing and no hard reject, clearing the +2.0% threshold.]
10	2f934c4103da	rejected	weighted_median_wall_seconds_per_100_steps	0.276346416736	Precompute and cache per-oxygen TIP4P virial-weighted coordinates (`vsite`) in `compute()` and reuse them in `eval()` for i/j oxygen virial terms to reduce hot-loop hydrogen-coordinate loads/arithmetic while preserving force partitioning. [Correctness passed, but the candidate regressed the primary metric by 1.61% vs incumbent (0.276346416736 vs 0.271962072991), so it fails the +2.0% acceptance threshold.]
