iteration	commit	status	primary_metric_name	primary_metric_value	description
0	e7c0ed95a333	baseline	weighted_median_bond_seconds	0.32627	baseline
1	911f06a50100	accepted	weighted_median_bond_seconds	0.28156	Hoist `evflag`/`eflag`/`newton_bond` branches out of the serial `bond_class2` and `angle_harmonic` hot loops with OMP-style specialized `eval` helpers, and use flat `_noalias` typed views for coordinates, forces, and topology lists. [Correctness passed and the candidate cut weighted_median_bond_seconds from 0.32627 to 0.28156 (-13.70%), so it should replace the incumbent.]
2	25f839bdfc42	correctness_failure	weighted_median_bond_seconds	0.28546	Reuse per-type coefficients and reciprocals, evaluate the class2 polynomial in a lower-overhead form, reuse force components, and only materialize `ev_tally` force arrays in `bond_class2` and `angle_harmonic` specialized hot-loop instantiations. [Hard correctness failure in both benchmark cases, and the candidate was also 1.39% slower than incumbent on the primary metric.; case test-32r-long etotal relative_delta exceeds threshold (9.3752e-05 > 1e-08); case test-32r-long pe relative_delta exceeds threshold (0.0022341 > 1e-08); case test-32r-long ke relative_delta exceeds threshold (0.0041836 > 1e-08); case test-32r-long temp relative_delta exceeds threshold (0.0041836 > 1e-08); case test-32r-long press abs_delta exceeds threshold (1.38024e+08 > 1e-06); case test-32r-long force_components abs_delta exceeds threshold (0.106059 > 1e-08); case test-32r-long force_components rms_delta exceeds threshold (0.0295306 > 1e-08); case test-64r-short etotal relative_delta exceeds threshold (7.58474e-08 > 1e-08); case test-64r-short pe relative_delta exceeds threshold (4.16662e-08 > 1e-08); case test-64r-short ke relative_delta exceeds threshold (5.10999e-08 > 1e-08); case test-64r-short temp relative_delta exceeds threshold (4.97398e-08 > 1e-08); case test-64r-short press abs_delta exceeds threshold (2880 > 1e-06); case test-64r-short force_components abs_delta exceeds threshold (1.24e-05 > 1e-08); case test-64r-short force_components rms_delta exceeds threshold (1.19468e-06 > 1e-08)]
3	4a79c588ea08	accepted	weighted_median_bond_seconds	0.27301	Add a `bond_class2` single-bond-type fast path that dispatches to a dedicated `eval_one_type` helper and hoists constant coefficients out of the inner loop. [Correctness passed and the single-bond-type `bond_class2` fast path improved weighted_median_bond_seconds from 0.28156 to 0.27301 (-3.04% vs incumbent).]
4	e5c1ddf090fa	rejected	weighted_median_bond_seconds	0.27052	Add an `angle_harmonic` single-angle-type fast path that dispatches to `eval_one_type` and hoists `k[1]`/`theta0[1]` out of the inner loop. [Correctness passed, but the candidate improved weighted_median_bond_seconds by only 0.91% versus the incumbent, below the 2% acceptance threshold.]
5	224da0125669	rejected	weighted_median_bond_seconds	0.27041	Cache per-bond force components in bond_class2 and restore the single-angle-type fast path in angle_harmonic. [Correctness passed, but weighted_median_bond_seconds improved only 0.95% versus the incumbent, below the 2% acceptance threshold.]
6	e639b3949f97	rejected	weighted_median_bond_seconds	0.27144	Accumulate consecutive same-`i1` bonds in the single-type `bond_class2` fast path to reuse the leading atom's coordinates and force accumulator across each run. [Correctness passed, but same-`i1` bond-run accumulation improved weighted_median_bond_seconds by only 0.58% versus the incumbent, below the 2% acceptance threshold.]
7	47d88a349494	rejected	weighted_median_bond_seconds	0.27624	Restore the `angle_harmonic` single-angle-type fast path and add an explicit same-`i1` two-bond block in the single-type `bond_class2` kernel to reuse the leading atom state while preserving per-bond math and tally order. [Correctness passed, but iteration 7 regressed the primary metric to 0.27624, which is 1.18% slower than the incumbent 0.27301.]
8	e3c2ae9ee96a	rejected	weighted_median_bond_seconds	0.27111	Restore `angle_harmonic` single-angle-type dispatch and tighten one-type bonded hot paths by only materializing angle `ev_tally` arrays when `EVFLAG` is active and only computing `bond_class2` energy-only intermediates in `EFLAG` instantiations. [Correctness passed, but the candidate improved weighted_median_bond_seconds by only 0.70% versus incumbent 4a79c588ea08, below the 2% acceptance threshold.]
9	6fbda0abc94b	rejected	weighted_median_bond_seconds	0.26892	Add a dedicated two-way unrolled `bond_class2` one-type hot path for the dominant no-`evflag`, Newton-on case while preserving exact per-bond math and update order. [Correctness passed, but the two-way unrolled `bond_class2` hot path improved `weighted_median_bond_seconds` by only 1.50% versus the incumbent, below the 2% acceptance threshold.]
