iteration	commit	status	primary_metric_name	primary_metric_value	description
0	e7c0ed95a333	baseline	weighted_median_pair_plus_kspace_seconds	94.717	baseline
1	0157b0571dbb	rejected	weighted_median_pair_plus_kspace_seconds	94.369	Cache PPPM TIP4P virtual-site reconstruction and H-index lookup once per local oxygen per compute, reusing it across particle_map, make_rho, fieldforce, per-atom, and slab correction [Correctness passed, but 94.369 is only a 0.37% improvement over 94.717 and misses the benchmark contract's 2% minimum improvement threshold.]
2	2bbd33a175f2	correctness_failure	weighted_median_pair_plus_kspace_seconds	82.844	Backport the serial OPT hot loop into base lj/cut/tip4p/long so the benchmarked pair kernel uses branch-specialized eval paths and local f[i] accumulation. [Hard reject: despite a 12.54% speedup, candidate 2bbd33a175f failed TIP4P correctness with large force mismatches in both cases and broad thermo divergence in test-32r-long, so the baseline incumbent remains.; case test-32r-long etotal_series relative_delta exceeds threshold (8.92069e-05 > 1e-06); case test-32r-long pe_series relative_delta exceeds threshold (0.00218177 > 1e-06); case test-32r-long ke_series relative_delta exceeds threshold (0.00408985 > 1e-06); case test-32r-long temp_series relative_delta exceeds threshold (0.00408985 > 1e-06); case test-32r-long press_series relative_delta exceeds threshold (0.200262 > 1e-05); case test-32r-long forces_xyz abs_delta exceeds threshold (0.107617 > 1e-08); case test-32r-long forces_xyz rms_delta exceeds threshold (0.0276885 > 1e-08); case test-64r-short forces_xyz abs_delta exceeds threshold (1.44e-05 > 1e-08); case test-64r-short forces_xyz rms_delta exceeds threshold (1.44068e-06 > 1e-08)]
3	3a45586c8afa	accepted	weighted_median_pair_plus_kspace_seconds	81.885	Specialize `pair_lj_cut_tip4p_long` with compile-time energy/virial/table dispatch, a shared TIP4P site-cache helper, and separate oxygen/non-oxygen `i` hot paths while preserving the original force writes and `ev_tally_tip4p()` semantics. [Correctness passed with no guardrail errors, and the candidate improves the primary metric from 94.717 to 81.885, a 13.55% gain that clears the 2% acceptance bar.]
4	847eb8e5dd4b	rejected	weighted_median_pair_plus_kspace_seconds	81.985	Cache local PPPM TIP4P M-site reconstruction and 1D rho stencils in particle_map() so make_rho(), fieldforce, per-atom, and slab correction reuse the cached state instead of recomputing find_M()/compute_rho1d() [Correctness passed, but 81.985 is 0.12% slower than incumbent 81.885 and misses the 2% improvement bar.]
5	42d987d04a9c	rejected	weighted_median_pair_plus_kspace_seconds	81.298	Skip the extended TIP4P Coulomb precheck for exact non-oxygen/non-oxygen pairs in `pair_lj_cut_tip4p_long`, while keeping the incumbent oxygen/M-site path unchanged for any oxygen-containing interaction. [Correctness passed, but 81.298 is only a 0.72% improvement over incumbent 81.885 and misses the benchmark contract's 2% minimum improvement bar.]
6	89aa52c5901e	correctness_failure	weighted_median_pair_plus_kspace_seconds	79.639	Specialize `pair_lj_cut_tip4p_long` for the benchmark’s global-only tally path, fast-path exact non-water/non-water Coulomb pairs, and locally accumulate non-water `f[i]` updates while preserving the incumbent TIP4P oxygen/M-site force distribution [Hard reject: candidate 89aa52c5901e is 2.74% faster than incumbent 3a45586c8afa but fails benchmark correctness, with broad test-32r-long thermo divergence and forces_xyz mismatches in both cases.; case test-32r-long etotal_series relative_delta exceeds threshold (8.42997e-05 > 1e-06); case test-32r-long pe_series relative_delta exceeds threshold (0.00183969 > 1e-06); case test-32r-long ke_series relative_delta exceeds threshold (0.00345568 > 1e-06); case test-32r-long temp_series relative_delta exceeds threshold (0.00345568 > 1e-06); case test-32r-long press_series relative_delta exceeds threshold (0.222002 > 1e-05); case test-32r-long forces_xyz abs_delta exceeds threshold (0.105529 > 1e-08); case test-32r-long forces_xyz rms_delta exceeds threshold (0.0282935 > 1e-08); case test-64r-short forces_xyz abs_delta exceeds threshold (8.3e-06 > 1e-08); case test-64r-short forces_xyz rms_delta exceeds threshold (1.10787e-06 > 1e-08)]
7	c37498ebee61	rejected	weighted_median_pair_plus_kspace_seconds	81.445	Keep the exact H-H Coulomb cutoff fast path in `pair_lj_cut_tip4p_long`, and reuse the first oxygen `find_M()` result in `PPPMTIP4P::fieldforce_ik()` / `fieldforce_ad()` while hoisting constant alpha/slab factors out of the inner oxygen force-distribution branch [Correctness passed, but candidate c37498ebee61 improves the incumbent by only 0.54% (81.885 to 81.445), missing the 2% acceptance bar.]
8	7d859a5521df	rejected	weighted_median_pair_plus_kspace_seconds	85.841	Specialize `pair_lj_cut_tip4p_long` Coulomb handling by interaction class (`O-O`, `O-H`, `H-O`, and exact non-oxygen/non-oxygen) via a templated helper, preserving incumbent TIP4P force distribution and `ev_tally_tip4p()` semantics while retaining the safe exact non-water cutoff pruning. [Correctness passed, but candidate 7d859a5521df regressed the incumbent primary metric from 81.885 to 85.841, missing the 2% improvement bar.]
9	0356a6e5d35a	rejected	weighted_median_pair_plus_kspace_seconds	80.674	Tighten `pair_lj_cut_tip4p_long` Coulomb prechecks only for exact `H-H` and actual-current-step `O(i)-H(j)` reach tests, while keeping all oxygen-`j` paths plus the incumbent TIP4P force/tally write order unchanged. [Correctness passed, but 80.674 is only a 1.48% improvement over incumbent 81.885 and misses the 2% acceptance bar.]
