iteration	commit	status	primary_metric_name	primary_metric_value	description
0	44c83aaae41f	baseline	weighted_median_scf_kernel_seconds	1.22637232198	baseline
1	61af054e3309	correctness_failure	weighted_median_scf_kernel_seconds	1.12701674501	Skip redundant unshifted SCF extra-cycle potential rebuild after canonical density is already below gradient tolerance [Hard reject: authoritative correctness failed on test-uks-feo norm_gorb despite faster runtime.; case test-uks-feo norm_gorb abs_delta exceeds threshold (7.66061e-05 > 3.16228e-05)]
2	3fc6d11adee9	accepted	weighted_median_scf_kernel_seconds	1.13041764198	Guard final SCF extra-cycle get_veff rebuild with small canonical-density and gradient thresholds so near-stationary cases reuse the existing potential while FeO-like larger moves keep the full refresh [Authoritative benchmark passed correctness and improved the primary metric by 7.82% without persistent caches or replayed answers.]
3	fe174d17db12	rejected	weighted_median_scf_kernel_seconds	1.11805531601	Use AO-basis CDIIS error vectors for restricted SCF runs with a near-zero initial HOMO-LUMO gap, avoiding arbitrary degenerate Corth selection and reducing the H4 worker case by one SCF cycle [Correctness passed and the DIIS change is honest, but the 1.09% incumbent improvement misses the benchmark contract's 2% promotion threshold.]
4	cc9080893ef4	rejected	weighted_median_scf_kernel_seconds	1.12786009302	Lazy DIIS Corth initialization in hf.py, retaining AO-basis CDIIS for restricted near-zero first HOMO-LUMO gaps to remove a redundant initial eigensolve and recover the H4 cycle reduction [Correctness passed, but the 0.23% incumbent improvement is below the 2% promotion threshold.]
5	d5d6fd79c2d9	rejected	weighted_median_scf_kernel_seconds	1.12583458901	Extend the guarded final SCF extra-cycle potential reuse with an energy-stability fallback for moderately small canonical density moves, saving the stretched N2 final get_veff refresh while keeping FeO on the refreshed path [Correctness passed and the shortcut is honest, but the 0.41% incumbent improvement is below the 2% promotion threshold.]
6	4115f7500839	rejected	weighted_median_scf_kernel_seconds	1.127268457	Reuse the DIIS setup eigensolution for the first standard SCF cycle and use direct plain-Fock construction at no-DIIS standard RHF/RKS/UHF/UKS call sites. [Correctness passed, but the 0.28% incumbent improvement is below the benchmark's 2% promotion threshold.]
7	823bbe5bec61	rejected	weighted_median_scf_kernel_seconds	1.11199238102	Defer per-cycle dump_chk writes for the automatically created temporary chkfile when no callback is active, keeping explicit chkfile behavior and final checkpoint contents intact while removing repeated transient SCF-kernel I/O [Correctness passed and the checkpoint I/O deferral is honest, but its 1.63% incumbent improvement misses the required 2% promotion threshold.]
8	a5198fab0782	accepted	weighted_median_scf_kernel_seconds	1.10580376899	Combine AO-basis CDIIS error vectors for restricted near-zero initial HOMO-LUMO gaps with deferred per-cycle writes for the default temporary chkfile when no callback is active. [Correctness passed and the 2.18% incumbent improvement clears the 2% promotion threshold without persistent caching or answer replay.]
9	cee4ed30a38d	rejected	weighted_median_scf_kernel_seconds	1.11157818197	Guard final SCF extra diagonalization with a small last-density-step check, preserving the existing extra-cycle path for active level shifts, custom convergence hooks, and larger FeO-like moves. [Correctness passed, but the candidate was 0.52% slower than the incumbent and failed the 2% promotion threshold.]
10	15371b3f64b0	correctness_failure	weighted_median_scf_kernel_seconds	1.11423392402	Guarded early final-convergence certification in `hf.kernel`, saving a near-converged follow-up SCF cycle only when the refreshed extra-cycle state satisfies the original strict energy and gradient tolerances. [Hard reject: O2 dimer norm_gorb correctness tolerance failed, and the candidate was slower than the incumbent.; case test-uks-o2-dimer norm_gorb abs_delta exceeds threshold (3.35048e-05 > 3.16228e-05)]
11	9ceb1992d98c	rejected	weighted_median_scf_kernel_seconds	1.11542268703	Use AO-basis CDIIS error vectors for restricted SCF runs to avoid restricted-only Corth setup eigensolve and repeated Corth error-vector transforms, while leaving unrestricted DIIS handling unchanged. [Correctness passed and the DIIS change is honest, but it was 0.87% slower than the incumbent and misses the 2% promotion threshold.]
12	89eac5279c1a	accepted	weighted_median_scf_kernel_seconds	0.860287176969	Cache reusable DFT numerical-integration AO block-loop outputs for unchanged RKS/UKS molecular grids, preserving existing NumInt integration semantics while avoiding repeated AO evaluation across SCF cycles. [Correctness passed and the per-object AO block cache improved the primary metric by 22.20% over incumbent without persistent caching or answer replay.]
13	de439af669fb	rejected	weighted_median_scf_kernel_seconds	0.85786830401	Prefer sparse density-matrix rho evaluation for cached RKS/UKS numerical integration by stripping MO tags only for NumInt calls after the per-object AO block cache is populated. [Correctness passed and the change is honest, but the 0.28% incumbent improvement is below the required 2% promotion threshold.]
14	b24465bd95e3	rejected	weighted_median_scf_kernel_seconds	0.859089537	Use plain ndarray density matrices for UKS numerical-integration calls so cached-AO UKS uses the density-matrix rho evaluator while preserving tagged SCF density state. [Correctness passed and the UKS-only NumInt density conversion is honest, but the 0.14% incumbent improvement is below the 2% promotion threshold.]
15	14eae176b837	accepted	weighted_median_scf_kernel_seconds	0.829319668992	Build primary molecular RKS/UKS numerical-integration grids without the initial atom-group sorting step, retaining existing pruning, non0tab generation, and per-object AO block-cache semantics while avoiding grid-sorting startup overhead. [Correctness passed and the 3.60% incumbent improvement clears the 2% threshold without persistent caching or answer replay.]
16	15e0e3d707cc	rejected	weighted_median_scf_kernel_seconds	0.815344105999	Fuse alpha and beta tagged-MO density contractions for the common real single-density UKS GGA numerical-integration path, with fallback to existing NumInt.nr_uks when stock dispatch would not use eval_rho2. [Correctness passed and the UKS rho2 fusion is honest, but its 1.69% incumbent improvement is below the 2% promotion threshold.]
17	60729b5492d4	rejected	weighted_median_scf_kernel_seconds	0.814026764012	Route cached-AO DFT density evaluation through plain density matrices for RKS after AO cache population and fused alpha/beta tagged-MO GGA rho2 contractions for UKS, with existing NumInt fallbacks. [Correctness passed and the optimization is honest, but the 1.84% incumbent improvement misses the 2% promotion threshold.]
18	ae6b140db86a	rejected	weighted_median_scf_kernel_seconds	0.822071399016	Route cached-AO DFT density evaluation through plain density matrices, fuse tagged-MO UKS GGA alpha/beta rho2 contractions, and skip the throwaway full-grid non0tab build before density pruning. [Correctness passed and the DFT integration/setup changes are honest, but the 0.87% incumbent improvement misses the 2% promotion threshold.]
19	8d8a60d41b1b	accepted	weighted_median_scf_kernel_seconds	0.812246244983	Reduce cached-AO DFT NumInt overhead with per-call molecule shell-metadata reuse, RKS cached-density plain-ndarray routing, and conservative fused UKS GGA tagged-MO alpha/beta rho2 contractions. [Correctness passed and the 2.06% improvement over incumbent clears the 2% threshold without persistent caching or answer replay.]
