iteration	commit	status	primary_metric_name	primary_metric_value	description
0	e7c0ed95a333	baseline	weighted_median_neigh_seconds	0.36158	baseline
1	2d1eda35b944	rejected	weighted_median_neigh_seconds	0.47712	Split the orthogonal half-bin/newton self-bin traversal in `npair_bin.cpp` and cache per-atom cutoff/special-bond lookups to reduce repeated hot-path branches and memory accesses [Correctness held, but the `src/npair_bin.cpp` refactor regressed `weighted_median_neigh_seconds` from 0.36158 to 0.47712 (+31.95%), so the incumbent stays.]
2	32b495fdb66b	accepted	weighted_median_neigh_seconds	0.33535	Specialize the orthogonal half/bin/newton neighbor build in `src/npair_bin.cpp` to remove generic branches and hoist per-atom special-bond/cutoff setup out of the innermost loop [Correctness held with zero failures, and the targeted `src/npair_bin.cpp` hot-path specialization improved `weighted_median_neigh_seconds` from 0.36158 to 0.33535 (-7.25%), so the candidate becomes the new incumbent.]
3	380bf2b0146b	accepted	weighted_median_neigh_seconds	0.32842	Add a benchmark-specific fast path in `NPairBin<1,1,0,0,0>::build()` for standard molecular systems without neighbor exclusions, removing repeated `special_i` setup and `exclude` checks from the hot orthogonal half/bin/newton loops. [Candidate improves weighted_median_neigh_seconds from 0.33535 to 0.32842 with correctness intact, so it becomes the new incumbent.]
4	3bd7cbc7ee03	rejected	weighted_median_neigh_seconds	0.32287	Skip `find_special()` and `minimum_image_check()` for different-molecule pairs inside the incumbent `NPairBin<1,1,0,0,0>::build()` molecular/no-exclusion fast path, keeping same-molecule pairs on the original special-neighbor handling. [Correctness held and weighted_median_neigh_seconds improved to 0.32287, but the -1.69% gain versus incumbent missed the benchmark contract’s 2.0% minimum improvement threshold, so 380bf2b0146b remains incumbent.]
5	1a1935b59c00	rejected	weighted_median_neigh_seconds	0.32384	Add a `maxspecial <= 2` molecular/no-exclusion fast path in `NPairBin<1,1,0,0,0>::build()` that bypasses generic `find_special()` scans for different-molecule pairs and uses direct same-molecule special-tag matching. [Correctness held and weighted_median_neigh_seconds improved to 0.32384, but the 1.39% gain versus incumbent 380bf2b0146b missed the benchmark contract’s 2.0% minimum improvement threshold.]
6	c4128d3970b2	accepted	weighted_median_neigh_seconds	0.31969	Refine the incumbent `NPairBin<1,1,0,0,0>::build()` fast path by early-accepting different-molecule pairs and skipping `minimum_image_check()` for owned same-molecule specials when `special_flag[1..3] == 2`. [Correctness held and weighted_median_neigh_seconds improved from 0.32842 to 0.31969 (-2.66% vs incumbent), clearing the benchmark contract’s 2.0% promotion gate.]
7	d89e6f820474	rejected	weighted_median_neigh_seconds	0.32426	Replace the remaining same-molecule `find_special()` scan in the incumbent `NPairBin<1,1,0,0,0>::build()` fast path with direct two-entry encoded-special tag checks when `nspecial[i][2] <= 2`, preserving the incumbent different-molecule early accept and ghost minimum-image fallback. [Correctness held, but the candidate regressed weighted_median_neigh_seconds from 0.31969 to 0.32426 (+1.43% vs incumbent), so c4128d3970b2 remains incumbent.]
8	d381c38751ec	rejected	weighted_median_neigh_seconds	0.33329	Split the benchmark-hot molecular/no-exclusion neighbor build into encoded-special and generic variants in `src/npair_bin.cpp`, using an encoded-only special lookup and special-hit-first branch order to cut residual same-molecule hot-loop branching. [Correctness held, but splitting the same-molecule fast path into encoded-special and generic variants regressed weighted_median_neigh_seconds from 0.31969 to 0.33329 (+4.25%), so c4128d3970b2 remains incumbent.]
9	2894990122f9	rejected	weighted_median_neigh_seconds	0.3187	Cache per-neighbor ownership/tag/molecule values and use an encoded-only special lookup inside the incumbent molecular/no-exclusion half/bin/newton fast path in `src/npair_bin.cpp` [Correctness held, but 0.31870 improves on incumbent 0.31969 by only 0.31%, below the 2.0% promotion threshold.]
10	b21ee6319e89	rejected	weighted_median_neigh_seconds	0.3221	Split the incumbent molecular/no-exclusion self-bin walk in `NPairBin<1,1,0,0,0>::build()` into owned and ghost tails so owned self-bin neighbors avoid repeated ghost-order checks while the accepted stencil path stays unchanged. [Correctness held, but weighted_median_neigh_seconds regressed from 0.31969 to 0.32210 (+0.75% vs incumbent), so the candidate cannot replace the incumbent or clear the 2.0% promotion gate.]
11	8c29b124a2c6	accepted	weighted_median_neigh_seconds	0.3115	Use contiguous `_noalias` aliases for hot coordinate/type/tag/molecule arrays in the incumbent `NPairBin<1,1,0,0,0>::build()` path [Correctness held and the candidate cut weighted_median_neigh_seconds from 0.31969 to 0.31150 (-2.56% vs incumbent), clearing the 2.0% promotion gate.]
